"Title","Date Created","Latitude","Longitude","Northing","Easting","Description","Elevation"
"A","2024-10-30T14:50:05+01:00",47.9940926913453,7.85886281008913,0,0,"3","371.352576"
"B","2024-10-30T14:54:20+01:00",47.9942164942958,7.85932000379851,0,0,"6","384.887541"
"C","2024-10-30T14:56:40+01:00",47.9941460424437,7.85939557947524,0,0,"8","385.437847"
"D","2024-10-30T14:57:40+01:00",47.9940871349534,7.85926380170573,0,0,"4","381.280112"
"E","2024-10-30T14:58:50+01:00",47.994178974205,7.85918765952833,0,0,"7","381.511147"
"F","2024-10-30T15:05:04+01:00",47.9938353988637,7.86003603119611,0,0,"10","378.659550"
"G","2024-10-30T15:14:02+01:00",47.9948349756862,7.86219074060057,0,0,"2","429.265276"
"H","2024-10-30T15:15:38+01:00",47.9950194582334,7.86198779475667,0,0,"0","430.775276"
"I","2024-10-30T15:20:03+01:00",47.9954013873601,7.86423122523589,0,0,"5","435.154616"
"J","2024-10-30T15:21:35+01:00",47.9955369958449,7.86396431618375,0,0,"4","436.714597"
"K","2024-10-30T15:30:32+01:00",47.9973897696682,7.86725904356728,0,0,"8","465.972648"
"L","2024-10-30T15:33:28+01:00",47.9970664218243,7.86616354188714,0,0,"8","453.291431"
"M","2024-10-30T15:25:32+01:00",47.9965446329894,7.86567783481506,0,0,"3","450.331466"
"N","2024-10-30T15:37:08+01:00",47.9973592339128,7.86588468888789,0,0,"9","437.245592"
"O","2024-10-30T15:39:22+01:00",47.9968440306577,7.86500788028239,0,0,"8","420.434514"
"P","2024-10-30T15:49:31+01:00",47.9950460316572,7.85949296336805,0,0,"7","374.853746"
"Q","2024-10-30T14:45:39+01:00",47.9942738656858,7.85805565604495,0,0,"2","351.686811"
