"Title","Date Created","Latitude","Longitude","Northing","Easting","Description","Elevation"
"A","2024-10-30T15:00:31+01:00",47.994149740915,7.8588629421916,6074114.79877778,874844.620938897,"4","372.119487"
"B","2024-10-30T14:56:37+01:00",47.9942592995027,7.8593194737382,6074132.96853598,874895.441798195,"7","385.367904"
"C","2024-10-30T14:57:06+01:00",47.9942592995027,7.8593194737382,6074132.96853598,874895.441798195,"5","385.367904"
"D","2024-10-30T14:57:36+01:00",47.9942592995027,7.8593194737382,6074132.96853598,874895.441798195,"5",
"E","2024-10-30T14:58:37+01:00",47.9942253309132,7.85932988941149,6074127.33500669,874896.601265642,"9","385.233188"
"F","2024-10-30T15:05:03+01:00",47.9939523720284,7.86001416332205,6074082.06620707,874972.774288929,"10","384.663801"
"G","2024-10-30T15:14:09+01:00",47.9949022447812,7.86214452132247,6074239.59866143,875209.924656743,"3","430.754836"
"H","2024-10-30T15:15:22+01:00",47.9950845771154,7.86198210858371,6074269.83805619,875191.844953366,"1","431.192603"
"I","2024-10-30T15:19:10+01:00",47.9954064642078,7.86425361169099,6074323.22254636,875444.707522603,"6","435.568364"
"J","2024-10-30T15:20:07+01:00",47.9956357816218,7.86401939475145,6074361.25469894,875418.634612159,"4","436.269249"
"K","2024-10-30T15:28:37+01:00",47.9974262484629,7.86730850355558,6074658.20837452,875784.776529398,"6","465.854326"
"L","2024-10-30T15:32:09+01:00",47.9970997496533,7.86619819712976,6074604.05690791,875661.177783452,"7","453.749640"
"M","2024-10-30T15:34:27+01:00",47.9965887059758,7.86577173993556,6074519.29844062,875613.704785748,"4","452.192550"
"N","2024-10-30T15:37:33+01:00",47.9973982330814,7.86588301966897,6074653.56186934,875626.092389007,"9","436.611893"
"O","2024-10-30T15:40:17+01:00",47.9969495256175,7.86505506227993,6074579.14161323,875533.924594061,"8","419.637680"
"P","2024-10-30T15:52:50+01:00",47.9950593511768,7.85960637964438,6074265.65438638,874927.380017577,"7","377.209652"
"Q","2024-10-30T15:57:44+01:00",47.9943330462677,7.85832641869121,6074145.19909966,874784.895416035,"1","356.840901"
