"Title","Date Created","Latitude","Longitude","Northing","Easting","Description","Elevation"
"A","2024-10-31T15:41:07+01:00",47.9941284522774,7.8587948475461,0,0,"6","370.219595"
"B","2024-10-31T15:45:48+01:00",47.9942649232385,7.85932477638841,0,0,"7","385.574245"
"C","2024-10-31T15:46:18+01:00",47.9942167716536,7.85922964483447,0,0,"6","382.704289"
"D","2024-10-31T15:46:37+01:00",47.9941399179852,7.85924722589075,0,0,"3","382.134381"
"E","2024-10-31T15:46:58+01:00",47.994148097052,7.85926641147396,0,0,"8","382.729379"
"F","2024-10-31T15:51:54+01:00",47.9938906985046,7.86000763045298,0,0,"8","382.023594"
"G","2024-10-31T16:00:02+01:00",47.99484937567,7.86213773791373,0,0,"5","429.599893"
"H","2024-10-31T16:01:40+01:00",47.9950457146926,7.86196031581186,0,0,"0","430.567097"
"I","2024-10-31T16:05:18+01:00",47.9954227260567,7.86423373554073,0,0,"4","435.574861"
"J","2024-10-31T16:05:57+01:00",47.9955788367826,7.86409983165762,0,0,"2","436.812209"
"K","2024-10-31T16:12:45+01:00",47.9974468611769,7.86729676535963,0,0,"5","465.834317"
"L","2024-10-31T16:14:54+01:00",47.9971208927301,7.86617775416314,0,0,"6","452.808130"
"M","2024-10-31T16:16:35+01:00",47.9965976675595,7.86574224898007,0,0,"0","451.284861"
"N","2024-10-31T16:21:07+01:00",47.9973834367701,7.86588580238596,0,0,"8","436.945174"
"O","2024-10-31T16:23:36+01:00",47.99687217552,7.86501395365665,0,0,"4","420.026176"
"P","2024-10-31T16:34:04+01:00",47.9951145609478,7.85954032089625,0,0,"6","372.290253"
"Q","2024-10-31T16:39:45+01:00",47.9942878052361,7.85794424603641,0,0,"0","348.403656"
