"Title","Date Created","Latitude","Longitude","Northing","Easting","Description","Elevation"
"A","2024-10-30T14:38:13+01:00",47.994090244174,7.85880552604795,47.994090244174,7.85880552604795,"5","370.046478"
"B","2024-10-30T14:40:57+01:00",47.9941875999793,7.85926686599851,47.9941875999793,7.85926686599851,"4","383.348389"
"C","2024-10-30T14:41:19+01:00",47.9941729593217,7.85920905644626,47.9941729593217,7.85920905644626,"4","381.952087"
"D","2024-10-30T14:41:39+01:00",47.9941184822436,7.85917418786268,47.9941184822436,7.85917418786268,"4","380.116974"
"E","2024-10-30T14:42:00+01:00",47.9941635020077,7.85929528065026,47.9941635020077,7.85929528065026,"4","383.704437"
"F","2024-10-30T14:46:43+01:00",47.9938788106665,7.85997706465423,47.9938788106665,7.85997706465423,"7","381.505066"
"G","2024-10-30T14:55:36+01:00",47.9948511952534,7.86211470142007,47.9948511952534,7.86211470142007,"2","429.617615"
"H","2024-10-30T15:01:49+01:00",47.9950924683362,7.86187506280839,47.9950924683362,7.86187506280839,"0","429.916779"
"I","2024-10-30T15:12:47+01:00",47.9953896068037,7.86418922245502,47.9953896068037,7.86418922245502,"6","434.337738"
"J","2024-10-30T15:13:20+01:00",47.9955893894657,7.8640625718981,47.9955893894657,7.8640625718981,"3","436.710754"
"K","2024-10-30T15:22:15+01:00",47.9974747309461,7.86733453162015,47.9974747309461,7.86733453162015,"7","465.669250"
"L","2024-10-30T15:25:56+01:00",47.9969243054675,7.86600953426557,47.9969243054675,7.86600953426557,"6","451.444122"
"M","2024-10-30T15:27:40+01:00",47.9965447587892,7.86572797223925,47.9965447587892,7.86572797223925,"3","451.615143"
"N","2024-10-30T15:34:53+01:00",47.9973770817742,7.86571472883224,47.9973770817742,7.86571472883224,"9","430.073273"
"O","2024-10-30T15:37:16+01:00",47.9969303263351,7.86505817435682,47.9969303263351,7.86505817435682,"5","0.000000"
"P","2024-10-30T15:48:59+01:00",47.9951549973339,7.85954388789833,47.9951549973339,7.85954388789833,"6","370.094604"
"Q","2024-10-30T15:54:02+01:00",47.9942733887583,7.85789466463029,47.9942733887583,7.85789466463029,"2","347.417816"
