"Title","Date Created","Latitude","Longitude","Northing","Easting","Description","Elevation"
"A","2024-10-31T15:41:04+01:00",47.9941230900119,7.85877796855645,0,0,"6","369.765232"
"B","2024-10-31T15:45:24+01:00",47.9942438960938,7.85925030847934,0,0,"7","383.419555"
"C","2024-10-31T15:43:43+01:00",47.9941814856168,7.85919131942059,0,0,"6","381.604786"
"D","2024-10-31T15:45:53+01:00",47.9941680340312,7.85922918776273,0,0,"3","382.359810"
"E","2024-10-31T15:46:17+01:00",47.9941683866248,7.8593106487502,0,0,"8","384.129043"
"F","2024-10-31T15:52:39+01:00",47.9938880793585,7.85997073497197,0,0,"8","382.059032"
"G","2024-10-31T15:59:52+01:00",47.994830595359,7.86210227771626,0,0,"5","429.237299"
"H","2024-10-31T16:01:44+01:00",47.9950747825652,7.86186969839769,0,0,"0","429.782935"
"I","2024-10-31T16:05:21+01:00",47.9953878388562,7.86422008907251,0,0,"4","434.750382"
"J","2024-10-31T16:05:57+01:00",47.9955926703593,7.86403448326397,0,0,"2","436.669192"
"K","2024-10-31T16:12:44+01:00",47.9974142136502,7.8673092182799,0,0,"5","465.880257"
"L","2024-10-31T16:14:53+01:00",47.9970755161645,7.86616740444531,0,0,"6","453.250551"
"M","2024-10-31T16:16:40+01:00",47.9965781137427,7.8657069698413,0,0,"0","450.607144"
"N","2024-10-31T16:21:12+01:00",47.9973582173293,7.86589093149296,0,0,"8","437.529911"
"O","2024-10-31T16:23:36+01:00",47.9967868671506,7.86503516307756,0,0,"4","422.614763"
"P","2024-10-31T16:33:59+01:00",47.9951158386546,7.85948494474708,0,0,"6","370.789518"
"Q","2024-10-31T16:39:02+01:00",47.9942333918762,7.85788375276856,0,0,"3","348.080737"
