"Title","Date Created","Latitude","Longitude","Northing","Easting","Description","Elevation"
"A","2024-10-31T15:36:34+01:00",47.9941263756537,7.85878973371242,6074110.923768,874836.471408272,"4","0.000000"
"B","2024-10-31T16:50:25+01:00",47.9941907465022,7.8592028844727,6074121.59935016,874882.463140528,"3","0.000000"
"C","2024-10-31T16:51:25+01:00",47.994157571121,7.85918455417031,6074116.09737802,874880.4226206,"3","0.000000"
"D","2024-10-31T16:51:37+01:00",47.994156584995,7.85923948284017,6074115.93383397,874886.537252158,"2","0.000000"
"E","2024-10-31T16:51:50+01:00",47.9941954963904,7.85923690585,6074122.38709582,874886.250382925,"3","0.000000"
"F","2024-10-31T15:44:33+01:00",47.9938779056811,7.86004809646714,6074069.7163957,874976.551709361,"1","0.000000"
"G","2024-10-31T15:52:53+01:00",47.9948420519595,7.86211833504002,6074229.61584515,875207.009613115,"7","0.000000"
"H","2024-10-31T15:56:51+01:00",47.9950682181526,7.86194136960416,6074267.12495576,875187.309910907,"0","0.000000"
"I","2024-10-31T16:07:02+01:00",47.9954098688723,7.86420232796766,6074323.78720663,875438.998644637,"4","0.000000"
"J","2024-10-31T16:09:58+01:00",47.9955738239074,7.86404706302057,6074350.97903321,875421.714629789,"7","0.000000"
"K","2024-10-31T16:18:09+01:00",47.9973821844752,7.86728664042394,6074650.90012083,875782.342736717,"3","0.000000"
"L","2024-10-31T16:21:16+01:00",47.9970759269696,7.86621347581449,6074600.10580972,875662.878598855,"2","0.000000"
"M","2024-10-31T16:23:12+01:00",47.9965355414724,7.86575563584964,6074510.48096133,875611.912087104,"6","0.000000"
"N","2024-10-31T16:26:03+01:00",47.99742833451,7.86594304283109,6074658.55435701,875632.77413685,"1","0.000000"
"O","2024-10-31T16:28:03+01:00",47.9968733988177,7.8649942157765,6074566.51568787,875527.151192282,"3","0.000000"
"P","2024-10-31T16:39:53+01:00",47.9950869991077,7.85961289573958,6074270.23973873,874928.105385976,"4","0.000000"
"Q","2024-10-31T16:46:09+01:00",47.9942323128888,7.85791360459966,6074128.49293389,874738.941161571,"1","0.000000"
