"Title","Date Created","Latitude","Longitude","Northing","Easting","Description","Elevation"
"A","2024-10-31T15:39:31+01:00",47.9941150417158,7.8588300827789,6074109.04409267,874840.963045807,"5","370.892721"
"B","2024-10-31T15:45:39+01:00",47.9942559028035,7.85926328078939,6074132.40520938,874889.186427747,"7","383.855052"
"C","2024-10-31T15:46:37+01:00",47.9942267575508,7.85921649846505,6074127.57160769,874883.978643224,"5","382.447926"
"D","2024-10-31T15:47:05+01:00",47.99413704296,7.85925861388528,6074112.69288629,874888.666910358,"5","382.310887"
"E","2024-10-31T15:47:53+01:00",47.9941407747662,7.85933765578444,6074113.31178738,874897.465814324,"8","384.076723"
"F","2024-10-31T15:53:16+01:00",47.9938748510797,7.8600201343021,6074069.20980816,874973.438975387,"9","381.046455"
"G","2024-10-31T16:04:39+01:00",47.9948223416192,7.86221532813578,6074226.3469412,875217.806835145,"1","428.895277"
"H","2024-10-31T16:03:09+01:00",47.9949991508367,7.86197715670006,6074255.67029261,875191.2937122,"0","430.465479"
"I","2024-10-31T16:13:25+01:00",47.9954040496078,7.86421760154172,6074322.82208734,875440.698891123,"4","435.006355"
"J","2024-10-31T16:14:27+01:00",47.9955758756928,7.86403077157464,6074351.31932091,875419.901074323,"2","436.817907"
"K","2024-10-31T16:23:40+01:00",47.9974557054673,7.86733129024314,6074663.09398353,875787.313131855,"5","465.732578"
"L","2024-10-31T16:27:14+01:00",47.9970164403754,7.86623080692199,6074590.23970116,875664.807888917,"6","455.943776"
"M","2024-10-31T16:31:17+01:00",47.9965711996316,7.86592083579486,6074516.39496422,875630.302060884,"2","455.389563"
"N","2024-10-31T16:34:34+01:00",47.9975066229622,7.86594747015581,6074671.53894159,875633.266984383,"7","437.906868"
"O","2024-10-31T16:38:06+01:00",47.9968616145677,7.8650443427721,6074564.56122592,875532.731303907,"3","421.273432"
"P","2024-10-31T16:53:12+01:00",47.995002078131,7.85957602778987,6074256.15577764,874924.001264589,"6","379.670294"
"Q","2024-10-31T16:58:50+01:00",47.9942323128888,7.85791360459966,6074128.49293389,874738.941161571,"1","348.884109"
