"Title","Date Created","Latitude","Longitude","Northing","Easting","Description","Elevation"
"A","2024-11-01T14:55:00+01:00",47.9940970255285,7.85882384922396,0,0,"4","370.534273"
"B","2024-11-01T15:00:08+01:00",47.9942282487994,7.85929589871991,0,0,"5","384.425671"
"C","2024-11-01T15:01:09+01:00",47.9941834097943,7.85916374345775,0,0,"4","380.974818"
"D","2024-11-01T15:02:08+01:00",47.9941626625262,7.85927672032533,0,0,"3","383.284959"
"E","2024-11-01T15:02:39+01:00",47.9941530031722,7.85941737247546,0,0,"8","386.075719"
"F","2024-11-01T15:10:21+01:00",47.9938663409114,7.86002543584778,0,0,"9","380.518098"
"G","2024-11-01T15:18:16+01:00",47.9947903625413,7.86225540222579,0,0,"1","427.901596"
"H","2024-11-01T15:22:38+01:00",47.9950432478063,7.86192883074926,0,0,"0","430.172712"
"I","2024-11-01T15:33:39+01:00",47.9954306665184,7.86407380020867,0,0,"5","434.902307"
"J","2024-11-01T15:34:22+01:00",47.9955808099058,7.86401624904856,0,0,"3","436.768938"
"K","2024-11-01T15:43:06+01:00",47.9974051737,7.86740236478295,0,0,"4","465.794259"
"L","2024-11-01T15:48:37+01:00",47.9970596696407,7.86617593834509,0,0,"6","453.753208"
"M","2024-11-01T15:53:53+01:00",47.9965594412044,7.8657946909239,0,0,"2","453.152532"
"N","2024-11-01T15:56:43+01:00",47.9975469176642,7.86576545716373,0,0,"10","430.184472"
"O","2024-11-01T16:02:17+01:00",47.9968757389228,7.86503195135832,0,0,"7","420.547714"
"P","2024-11-01T16:49:15+01:00",47.9950763793302,7.8596544265734,0,0,"6","377.507289"
"Q","2024-11-01T16:55:53+01:00",47.9942833870879,7.85789237168391,0,0,"3","347.119758"
