"Title","Date Created","Latitude","Longitude","Northing","Easting","Description","Elevation"
"A","2024-10-30T15:50:10+01:00",47.9940939008233,7.85886289212888,6105872.32666244,874844.61536594,"3","371.370605"
"B","2024-10-30T15:52:11+01:00",47.9942322334557,7.85927955090297,6105895.33768007,874890.997608506,"5","384.058044"
"C","2024-10-30T15:52:55+01:00",47.9941890501538,7.85920459042314,6105888.1543234,874882.653046062,"4","381.943726"
"D","2024-10-30T15:53:21+01:00",47.9941533510863,7.85924120905152,6105882.21594149,874886.729413127,"4","382.309631"
"E","2024-10-30T15:53:53+01:00",47.9941677816908,7.85928841424131,6105884.61640819,874891.984270817,"7","383.640808"
"F","2024-10-30T15:46:16+01:00",47.9938878795845,7.85999600524851,6105838.05606077,874970.752941428,"9","381.956299"
"G","2024-10-30T15:38:24+01:00",47.994842162256,7.86216576957715,6105996.79735666,875212.290001634,"2","429.449707"
"H","2024-10-30T15:36:48+01:00",47.9950261959046,7.86196452184087,6106027.41099242,875189.887206108,"1","430.484528"
"I","2024-10-30T15:31:57+01:00",47.9953725672071,7.86418901938107,6106085.02947398,875437.517139554,"3","434.028076"
"J","2024-10-30T15:32:30+01:00",47.9955912275674,7.8641024369536,6106121.40358129,875427.878827817,"2","436.713470"
"K","2024-10-30T15:26:07+01:00",47.9974622265715,7.86735258218063,6106432.65019494,875789.683339494,"4","465.658325"
"L","2024-10-30T15:22:50+01:00",47.9971281866455,7.8661410247529,6106377.080767,875654.813383572,"5","451.588928"
"M","2024-10-30T15:20:32+01:00",47.9965583836446,7.86583536348923,6106282.2916505,875620.787327345,"3","454.200287"
"N","2024-10-30T15:17:25+01:00",47.9974220682377,7.86584780015681,6106425.96961033,875622.171770847,"7","434.747192"
"O","2024-10-30T15:11:08+01:00",47.9968981913521,7.86501489401681,6106338.81996035,875529.453083464,"5","419.490570"
"P","2024-10-30T14:55:14+01:00",47.9950862729496,7.8596362510459,6106037.40471443,874930.705286783,"6","376.436371"
"Q","2024-10-30T14:40:26+01:00",47.9942885630288,7.85796493569059,6105904.70787149,874744.655312475,"2","348.940247"
