"Title","Date Created","Latitude","Longitude","Northing","Easting","Description","Elevation"
"A","2024-10-31T15:39:50+01:00",47.9940823983874,7.85878262230891,0,0,"4","369.456786"
"B","2024-10-31T15:44:17+01:00",47.9942465611883,7.85930780292891,0,0,"3","384.920712"
"C","2024-10-31T15:45:03+01:00",47.994157868802,7.8591466960385,0,0,"5","380.239366"
"D","2024-10-31T15:46:00+01:00",47.9941076307623,7.85923157494918,0,0,"4","381.077182"
"E","2024-10-31T15:46:21+01:00",47.9941282566677,7.85931646250369,0,0,"8","383.331367"
"F","2024-10-31T15:53:07+01:00",47.9938552886125,7.86006076689224,0,0,"9","379.627102"
"G","2024-10-31T16:01:03+01:00",47.9948483309628,7.86216660701062,0,0,"1","429.596305"
"H","2024-10-31T16:02:28+01:00",47.9950183141892,7.86197990415711,0,0,"0","461.300000"
"I","2024-10-31T16:07:38+01:00",47.9953921298005,7.86419507370719,0,0,"4","434.467398"
"J","2024-10-31T16:08:26+01:00",47.9955969391422,7.86409754930986,0,0,"4","436.664968"
"K","2024-10-31T16:15:44+01:00",47.9974306976227,7.86734251999942,0,0,"5","465.783021"
"L","2024-10-31T16:18:40+01:00",47.99707893294,7.86616667721691,0,0,"7","453.173173"
"M","2024-10-31T16:20:19+01:00",47.9965802059368,7.86572894200735,0,0,"2","451.161253"
"N","2024-10-31T16:24:16+01:00",47.9973886563151,7.86590445245781,0,0,"8","437.675695"
"O","2024-10-31T16:26:26+01:00",47.9968806213856,7.86499131038001,0,0,"6","419.169320"
"P","2024-10-31T16:38:32+01:00",47.995072750623,7.85957506409489,0,0,"7","375.587003"
"Q","2024-10-31T16:44:18+01:00",47.9942593688526,7.85792317559927,0,0,"2","348.502614"
